Mutation Type,Index,Change,Size,ID_type,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17
DEL_C_1_0,C,1,1,D,0.000159889,0.004824116,0.124727109,0.007249717,0.022202108,0.030506799,0.000466561,0.039827558,0.334939881,0.025105414,0.001576565,0.052787741,0.065548371,0.012016009,0.026527369,0.000952769,0.006117599
DEL_C_1_1,CC,1,2,D,0.000773523,2.21E-05,0.208876169,0.002734869,0.028547215,0.005491903,0,0.023915938,0.099994226,0.02930632,0.000550318,0.014674665,0.017536463,0.001946232,0.121009787,2.64E-18,0.003667555
DEL_C_1_2,CCC,1,3,D,3.31E-18,3.11E-06,0.176324217,0.002041063,0.026596927,0.008033994,0.008561945,0.003330554,0.002690655,0.018804056,0.000357338,0.000561932,0.005120219,0.000683696,0.147828864,8.15E-05,0.001220327
DEL_C_1_3,CCCC,1,4,D,0.001907613,0.002472076,0.064042764,0.001112283,0.014159122,0.001102379,0.042360147,0.005403153,0.010625416,0.01650356,9.08E-18,0.000995577,0.005350516,0.000487468,0.136006058,0.001624914,2.26E-08
DEL_C_1_4,CCCCC,1,5,D,0.00070599,0.003856976,0.043989808,0.001075684,0.002873422,0.00247817,0.114891909,0.001275709,0.012496902,0.002930632,9.08E-18,0.00224005,0.004346005,0.002071921,0.084197696,0.003378643,1.94E-08
DEL_C_1_5+,CCCCCC,1,6,D,0.003370115,0.014615424,0.022417486,0.002246178,0.002602449,0.001322073,0.251763142,0.000933729,4.48E-05,8.42E-18,0.000156465,0.029410808,0.000843056,0.002370276,0.018458293,2.65E-18,0.001220933
DEL_T_1_0,T,1,1,D,0.001311605,0.007905966,0.03759923,0.006635052,0.101481149,0.004284162,0.00266749,0.034243687,0.105105373,0.028306105,0.000944206,0.045135118,0.053698762,0.018309803,0.023951637,0.00062865,0.006088347
DEL_T_1_1,TT,1,2,D,3.31E-18,3.95E-18,0.013309824,0.001622466,0.106099611,0.000677688,0.007732725,0.010452076,0.044293641,8.42E-18,0.000258505,1.42E-17,0.498224168,0.000852559,0.07996011,0.00015704,0.004903196
DEL_T_1_2,TTT,1,3,D,0.000936453,0.007036418,0.016501851,0.002633405,0.114128464,0.011659665,0.00025476,0.00899203,0.085861956,0.001510326,0.000516519,0.010969204,0.023777805,0.010856423,0.120410466,2.66E-18,0.001225482
DEL_T_1_3,TTTT,1,4,D,0.002295855,0.020234743,0.020141477,0.000306038,0.088962208,0.022242391,0.028972742,0.009825045,0.113250663,0.001420306,0.00042568,0.022109366,0.062780952,0.01718395,0.113431215,2.66E-18,0.00122381
DEL_T_1_4,TTTTT,1,5,D,0.004291422,0.047119925,0.015814364,0.001023202,0.052259532,0.017697141,0.158850553,0.00127378,0.094412737,0.00241052,0.001932451,0.044077964,0.023004382,0.013347903,0.079178832,0.001001651,1.34E-09
DEL_T_1_5+,TTTTTT,1,6,D,3.31E-18,0.814697222,0.008066314,0.000154442,0.030610523,0.007954345,1.92E-07,0.010620342,0.000929835,1.27E-17,0.006539395,0.000348512,0.006079575,0.038616999,0.046903215,2.79E-18,4.63E-08
INS_C_1_0,C,1,1,I,3.31E-18,3.95E-18,0.002083092,6.62E-18,0.000542252,0.002086887,0.000672367,0.002764271,5.41E-18,8.42E-18,0.000186238,1.42E-17,0.002850428,0.454386955,6.58E-18,0.060271337,0.004878118
INS_C_1_1,CC,1,2,I,3.31E-18,0.000227026,0.001578887,0.000272399,0.001242898,0.001773433,2.62E-05,0.002169119,1.93E-06,0.000345074,0.163482884,0.000167697,0.001652256,0.012777431,6.58E-18,0.136484095,0.014767199
INS_C_1_2,CCC,1,3,I,3.31E-18,2.62E-05,0.001747946,6.88E-05,0.003151667,0.000246169,2.58E-05,0.001527,0.000352623,0.000272059,0.093738843,0.001596586,0.00082125,0.00065885,6.58E-18,0.124683558,0.029260405
INS_C_1_3,CCCC,1,4,I,0.000845986,0.00043005,0.006177647,0.000512481,0.000602848,0.000232169,0.002407735,0.000116524,5.41E-18,0.002580556,0.03617564,0.000450319,0.000375555,0.001564403,6.58E-18,0.098883121,0.049254522
INS_C_1_4,CCCCC,1,5,I,0.001785525,0.002911846,0.007104447,6.62E-18,0.000197582,0.000376592,0.015485431,0.000554177,2.16E-06,0.000411089,0.011189789,0.00439393,0.000148578,0.001539502,6.58E-18,0.062094379,0.024538408
INS_C_1_5+,CCCCCC,1,6,I,0.024296536,0.009017536,0.007351101,0.000249143,0.000433544,0.000247997,0.060343229,0.000489489,7.37E-05,0.000851184,0.003412242,0.01705149,0.000706981,0.002292999,6.58E-18,0.031034603,0.009790503
INS_T_1_0,T,1,1,I,0.002283824,0.001328556,0.018722365,0.000333665,0.006361965,0.006396251,1.36E-06,0.004507979,0.012614484,0.017003667,0.000406945,0.004265301,0.041137013,0.032612007,6.58E-18,0.030194287,0.004892794
INS_T_1_1,TT,1,2,I,4.03E-05,3.95E-18,0.043119029,0.001010044,0.013462697,0.001041187,0.000373648,0.004868696,0.010385274,0.043809449,0.314277276,0.002496518,0.004748853,0.003165883,6.58E-18,0.103160227,0.038893641
INS_T_1_2,TTT,1,3,I,0.000192865,0.000647033,0.04015704,1.06E-05,0.029721144,0.000738848,0.018382706,0.001429636,0.002314663,0.003650787,0.161807823,1.42E-17,0.003054171,0.001774606,6.58E-18,0.108738483,0.043924608
INS_T_1_3,TTTT,1,4,I,0.004243267,0.001082879,0.025125434,0.000173935,0.01884025,0.000930638,0.008891635,0.001087286,0.001600885,0.003750809,0.107725327,0.000105674,0.009271857,0.001173836,6.58E-18,0.100939445,0.004872091
INS_T_1_4,TTTTT,1,5,I,0.016649127,0.003487461,0.006563305,1.60E-05,0.011268752,0.001349852,0.012787969,0.000822618,0.001585355,9.66E-06,0.04903068,0.00033648,0.012098641,0.004784999,6.58E-18,0.051962376,0.004903486
INS_T_1_5+,TTTTTT,1,6,I,0.890906464,0.003132585,0.026181239,0.000832926,0.001439215,0.014390041,0.010789849,0.020161248,0.00577248,1.11E-08,0.023629043,0.00016655,0.011099794,0.232747553,6.58E-18,0.035007686,0.00487383